"id","name","country_id","language_id","region_id","data_value","start_date","end_date","publish_status","view_id","page_url","url_directory","meta_title","meta_description","home_page_id","super_app_id","legacy_template_id","is_mobile","space_between_items","show_on_search_engines","create_date","is_deleted"
3699,[OLD] WEB-CHRISTMAS-LP-UA,24,5,1,"{""componentJson"": [{""id"": 7088, ""displayOrder"": 1}]}","2025-11-17 09:42:15.994978","2029-12-31 21:00:00",1,2,christmas,/katalog,christmas,christmas,0,0,114314,false,false,0,"2026-02-17 21:45:54.810587",false
3700,[OLD] WEB-CHRISTMAS-LP-UARU,24,3,1,"{""componentJson"": [{""id"": 7089, ""displayOrder"": 1}]}","2025-11-17 09:47:11.498561","2029-12-31 21:00:00",1,2,christmas,/katalog,christmas,christmas,0,0,114315,false,false,0,"2026-02-17 21:45:54.892408",false
3701,[OLD] APP-CHRISTMAS-LP-UARU,24,3,1,"{""componentJson"": [{""id"": 7090, ""displayOrder"": 1}]}","2025-11-17 09:47:19.402891","2033-12-31 21:00:00",1,2,christmas-nt,/katalog,christmas,christmas,0,0,114316,true,false,0,"2026-02-17 21:45:54.984972",false
3702,[OLD] WINTER LP,24,3,1,"{""componentJson"": [{""id"": 7091, ""displayOrder"": 1}, {""id"": 7092, ""displayOrder"": 2}]}","2025-12-04 09:02:04.813912","2029-12-31 21:00:00",1,2,winter-lp,/katalog,Winter LP,Winter LP,0,0,117006,false,false,0,"2026-02-17 21:45:55.121387",false
3703,[OLD] WINTER LP APP,24,3,1,"{""componentJson"": [{""id"": 7093, ""displayOrder"": 1}, {""id"": 7094, ""displayOrder"": 2}]}","2025-12-04 09:02:11.902341","2033-12-31 21:00:00",1,2,winter-lp-nt,/katalog,Winter LP App,Winter LP App,0,0,117007,true,false,0,"2026-02-17 21:45:55.262584",false
3704,[OLD] WINTER LP APP,24,5,1,"{""componentJson"": [{""id"": 7095, ""displayOrder"": 1}, {""id"": 7096, ""displayOrder"": 2}]}","2025-12-04 09:00:57.761069","2029-12-31 21:00:00",1,2,winter-lp-nt,/katalog,Winter LP App,Winter LP App,0,0,117008,true,false,0,"2026-02-17 21:45:55.3893",false
3705,[OLD] WINTER LP,24,5,1,"{""componentJson"": [{""id"": 7097, ""displayOrder"": 1}, {""id"": 7098, ""displayOrder"": 2}]}","2025-12-04 09:00:49.096238","2029-12-31 21:00:00",1,2,winter-lp,/katalog,Winter LP,Winter LP,0,0,117009,false,false,0,"2026-02-17 21:45:55.513158",false
3778,[OLD] APP-NEWYEAR-LP-KZRU,10,3,1,"{""componentJson"": [{""id"": 7162, ""displayOrder"": 1}]}","2025-11-17 10:27:06.049033","2029-12-31 19:00:00",1,2,newyear-nt,/katalog,newyear,newyear,0,0,114324,true,false,0,"2026-02-17 21:46:30.462933",false
3779,[OLD] WEB-NEWYEAR-LP-KZRU,10,3,1,"{""componentJson"": [{""id"": 7215, ""displayOrder"": 1}]}","2025-11-17 10:34:27.446161","2029-12-31 19:00:00",1,2,newyear,/katalog,newyear,newyear,0,0,114325,false,false,0,"2026-02-17 21:46:30.559622",false
3780,[OLD] APP-NEWYEAR-LP-KZ,10,6,1,"{""componentJson"": [{""id"": 7161, ""displayOrder"": 1}]}","2025-11-17 10:34:12.918575","2029-12-31 19:00:00",1,2,newyear-nt,/katalog,newyear,newyear,0,0,114328,true,false,0,"2026-02-17 21:46:30.644067",false
3781,[OLD] WEB-NEWYEAR-LP-KZ,10,6,1,"{""componentJson"": [{""id"": 7216, ""displayOrder"": 1}]}","2025-11-17 10:34:18.255321","2029-12-31 19:00:00",1,2,newyear,/katalog,newyear,newyear,0,0,114329,false,false,0,"2026-02-17 21:46:30.729744",false
