"id","display_order","name","viewkey","status_type_id","platform_id","super_app_id","create_user_name","create_date","last_updated_user_name","last_updated_date","language_id","country_id","is_default","title","is_highlighted","old_id","old_status_type_id","old_platform_id","old_super_app_id","fallback_homepage_id"
"30",18,"Kids & Baby","kids-baby-iq-en-app",2,21,1,"TANER.CEVHER","2025-08-28 11:50:43.065614","TANER.CEVHER","2026-03-26 11:57:16.783364",2,13,False,"Kids & Baby",False,"30","2","21","1",NULL
"31",24,"Deal Zone","deal-zone-iq-en-app",2,21,1,"TANER.CEVHER","2025-08-28 11:50:56.532266","","2026-06-11 07:37:04.847864",2,13,False,"Deal Zone",True,"31","1","21","1",NULL
"32",16,"Homepage","homepage-roen",2,1,0,"TANER.CEVHER","2025-08-28 12:12:44.656709","MACIT.ISIK","2026-06-09 07:00:37.476074",2,50,False,"Homepage",False,"32","1","1","0",NULL
"33",2,"Women","women-roen",1,1,0,"TANER.CEVHER","2025-08-28 12:13:06.606537","MACIT.ISIK","2026-06-09 07:00:37.476074",2,50,True,"WOMEN",False,"33","1","1","0",NULL
"34",17,"Men","men-roen",1,1,0,"TANER.CEVHER","2025-08-28 12:13:17.808722","MACIT.ISIK","2026-06-09 07:00:37.476075",2,50,False,"MEN",False,"34","1","1","0",NULL
"35",123,"Kids & Baby","kids-baby-roen",3,1,0,"TANER.CEVHER","2025-08-28 12:13:45.950146","MACIT.ISIK","2026-06-09 07:00:37.476074",2,50,False,"Kids & Baby",False,"35","3","1","0",NULL
"36",23,"Deal Zone","deal-zone-roen",2,1,0,"TANER.CEVHER","2025-08-28 12:13:59.550806","","2026-06-11 08:34:01.556288",2,50,False,"DEAL ZONE",True,"36","1","1","0",NULL
"37",16,"Homepage","homepage-roen-app",2,21,1,"TANER.CEVHER","2025-08-28 12:14:19.36992","TANER.CEVHER","2026-03-26 11:57:16.783364",2,50,False,"Homepage",False,"37","1","21","1",NULL
"38",15,"Women","women-roen-app",1,21,1,"TANER.CEVHER","2025-08-28 12:14:31.083658","TANER.CEVHER","2026-03-26 11:57:16.783364",2,50,True,"Women",False,"38","1","21","1",NULL
"39",17,"Men","men-roen-app",1,21,1,"TANER.CEVHER","2025-08-28 12:14:39.798682","TANER.CEVHER","2026-03-26 11:57:16.783364",2,50,False,"Men",False,"39","1","21","1",NULL
"40",126,"Kids & Baby","kids-baby-roen-app",3,21,1,"TANER.CEVHER","2025-08-28 12:14:53.404489","TANER.CEVHER","2026-03-26 11:57:16.783364",2,50,False,"Kids & Baby",False,"40","3","21","1",NULL
"41",23,"Deal Zone","deal-zone-roen-app",2,21,1,"TANER.CEVHER","2025-08-28 12:15:06.268173","","2026-06-11 08:33:56.298818",2,50,False,"Deal Zone",True,"41","1","21","1",NULL
"42",16,"HOMEPAGE","homepage-ro",2,1,0,"TANER.CEVHER","2025-08-28 12:53:13.213558","MACIT.ISIK","2026-06-09 07:00:37.476074",7,50,False,"HOMEPAGE",False,"42","1","1","0",NULL
"43",15,"FEMEI","women-ro",1,1,0,"TANER.CEVHER","2025-08-28 12:53:24.209868","MACIT.ISIK","2026-06-09 07:00:37.476075",7,50,True,"FEMEI",False,"43","1","1","0",NULL
"44",17,"BĂRBAȚI","men-ro",1,1,0,"TANER.CEVHER","2025-08-28 12:53:30.679177","MACIT.ISIK","2026-06-09 07:00:37.476075",7,50,False,"BĂRBAȚI",False,"44","1","1","0",NULL
"45",190,"COPII & BEBELUȘI","kids-baby-ro",3,1,0,"TANER.CEVHER","2025-08-28 12:53:43.575377","MACIT.ISIK","2026-06-09 07:00:37.476076",7,50,False,"COPII & BEBELUȘI",False,"45","3","1","0",NULL
"46",22,"ZONA DE REDUCERI","deal-zone-ro",2,1,0,"TANER.CEVHER","2025-08-28 12:53:53.973008","","2026-06-11 08:33:45.328641",7,50,False,"ZONA DE REDUCERI",True,"46","1","1","0",NULL
